DATAFLOW,LAST UPDATE,freq,unit,airpol,src_crf,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:ENV_AIR_GGE$DEFAULTVIEW(1.0),08-05-2025 23:00,Annual,Million tonnes,Methane,Energy,Austria,2014,0.03035,,
ESTAT:ENV_AIR_GGE$DEFAULTVIEW(1.0),08-05-2025 23:00,Annual,Million tonnes,Methane,Energy,Austria,2015,0.03029,,
ESTAT:ENV_AIR_GGE$DEFAULTVIEW(1.0),08-05-2025 23:00,Annual,Million tonnes,Methane,Energy,Austria,2016,0.03029,,
ESTAT:ENV_AIR_GGE$DEFAULTVIEW(1.0),08-05-2025 23:00,Annual,Million tonnes,Methane,Energy,Austria,2017,0.03143,,
ESTAT:ENV_AIR_GGE$DEFAULTVIEW(1.0),08-05-2025 23:00,Annual,Million tonnes,Methane,Energy,Austria,2018,0.02837,,
ESTAT:ENV_AIR_GGE$DEFAULTVIEW(1.0),08-05-2025 23:00,Annual,Million tonnes,Methane,Energy,Austria,2019,0.02766,,
ESTAT:ENV_AIR_GGE$DEFAULTVIEW(1.0),08-05-2025 23:00,Annual,Million tonnes,Methane,Energy,Austria,2020,0.02689,,
ESTAT:ENV_AIR_GGE$DEFAULTVIEW(1.0),08-05-2025 23:00,Annual,Million tonnes,Methane,Energy,Austria,2021,0.0284,,
ESTAT:ENV_AIR_GGE$DEFAULTVIEW(1.0),08-05-2025 23:00,Annual,Million tonnes,Methane,Energy,Austria,2022,0.02539,,
ESTAT:ENV_AIR_GGE$DEFAULTVIEW(1.0),08-05-2025 23:00,Annual,Million tonnes,Methane,Energy,Austria,2023,0.02415,,
ESTAT:ENV_AIR_GGE$DEFAULTVIEW(1.0),08-05-2025 23:00,Annual,Million tonnes,Methane,Energy,Belgium,2014,0.04006,,
ESTAT:ENV_AIR_GGE$DEFAULTVIEW(1.0),08-05-2025 23:00,Annual,Million tonnes,Methane,Energy,Belgium,2015,0.04289,,
ESTAT:ENV_AIR_GGE$DEFAULTVIEW(1.0),08-05-2025 23:00,Annual,Million tonnes,Methane,Energy,Belgium,2016,0.04275,,
ESTAT:ENV_AIR_GGE$DEFAULTVIEW(1.0),08-05-2025 23:00,Annual,Million tonnes,Methane,Energy,Belgium,2017,0.04205,,
ESTAT:ENV_AIR_GGE$DEFAULTVIEW(1.0),08-05-2025 23:00,Annual,Million tonnes,Methane,Energy,Belgium,2018,0.04152,,
ESTAT:ENV_AIR_GGE$DEFAULTVIEW(1.0),08-05-2025 23:00,Annual,Million tonnes,Methane,Energy,Belgium,2019,0.04196,,
ESTAT:ENV_AIR_GGE$DEFAULTVIEW(1.0),08-05-2025 23:00,Annual,Million tonnes,Methane,Energy,Belgium,2020,0.0406,,
ESTAT:ENV_AIR_GGE$DEFAULTVIEW(1.0),08-05-2025 23:00,Annual,Million tonnes,Methane,Energy,Belgium,2021,0.04231,,
ESTAT:ENV_AIR_GGE$DEFAULTVIEW(1.0),08-05-2025 23:00,Annual,Million tonnes,Methane,Energy,Belgium,2022,0.03846,,
ESTAT:ENV_AIR_GGE$DEFAULTVIEW(1.0),08-05-2025 23:00,Annual,Million tonnes,Methane,Energy,Belgium,2023,0.03934,,
ESTAT:ENV_AIR_GGE$DEFAULTVIEW(1.0),08-05-2025 23:00,Annual,Million tonnes,Methane,Energy,Bulgaria,2014,0.05942,,
ESTAT:ENV_AIR_GGE$DEFAULTVIEW(1.0),08-05-2025 23:00,Annual,Million tonnes,Methane,Energy,Bulgaria,2015,0.06451,,
ESTAT:ENV_AIR_GGE$DEFAULTVIEW(1.0),08-05-2025 23:00,Annual,Million tonnes,Methane,Energy,Bulgaria,2016,0.06107,,
ESTAT:ENV_AIR_GGE$DEFAULTVIEW(1.0),08-05-2025 23:00,Annual,Million tonnes,Methane,Energy,Bulgaria,2017,0.06569,,
ESTAT:ENV_AIR_GGE$DEFAULTVIEW(1.0),08-05-2025 23:00,Annual,Million tonnes,Methane,Energy,Bulgaria,2018,0.0598,,
ESTAT:ENV_AIR_GGE$DEFAULTVIEW(1.0),08-05-2025 23:00,Annual,Million tonnes,Methane,Energy,Bulgaria,2019,0.05625,,
ESTAT:ENV_AIR_GGE$DEFAULTVIEW(1.0),08-05-2025 23:00,Annual,Million tonnes,Methane,Energy,Bulgaria,2020,0.05278,,
ESTAT:ENV_AIR_GGE$DEFAULTVIEW(1.0),08-05-2025 23:00,Annual,Million tonnes,Methane,Energy,Bulgaria,2021,0.05781,,
ESTAT:ENV_AIR_GGE$DEFAULTVIEW(1.0),08-05-2025 23:00,Annual,Million tonnes,Methane,Energy,Bulgaria,2022,0.06119,,
ESTAT:ENV_AIR_GGE$DEFAULTVIEW(1.0),08-05-2025 23:00,Annual,Million tonnes,Methane,Energy,Bulgaria,2023,0.04647,,
ESTAT:ENV_AIR_GGE$DEFAULTVIEW(1.0),08-05-2025 23:00,Annual,Million tonnes,Methane,Energy,Cyprus,2014,0.0005,,
ESTAT:ENV_AIR_GGE$DEFAULTVIEW(1.0),08-05-2025 23:00,Annual,Million tonnes,Methane,Energy,Cyprus,2015,0.00062,,
ESTAT:ENV_AIR_GGE$DEFAULTVIEW(1.0),08-05-2025 23:00,Annual,Million tonnes,Methane,Energy,Cyprus,2016,0.00064,,
ESTAT:ENV_AIR_GGE$DEFAULTVIEW(1.0),08-05-2025 23:00,Annual,Million tonnes,Methane,Energy,Cyprus,2017,0.00071,,
ESTAT:ENV_AIR_GGE$DEFAULTVIEW(1.0),08-05-2025 23:00,Annual,Million tonnes,Methane,Energy,Cyprus,2018,0.0007,,
ESTAT:ENV_AIR_GGE$DEFAULTVIEW(1.0),08-05-2025 23:00,Annual,Million tonnes,Methane,Energy,Cyprus,2019,0.00073,,
ESTAT:ENV_AIR_GGE$DEFAULTVIEW(1.0),08-05-2025 23:00,Annual,Million tonnes,Methane,Energy,Cyprus,2020,0.00072,,
ESTAT:ENV_AIR_GGE$DEFAULTVIEW(1.0),08-05-2025 23:00,Annual,Million tonnes,Methane,Energy,Cyprus,2021,0.00072,,
ESTAT:ENV_AIR_GGE$DEFAULTVIEW(1.0),08-05-2025 23:00,Annual,Million tonnes,Methane,Energy,Cyprus,2022,0.00076,,
ESTAT:ENV_AIR_GGE$DEFAULTVIEW(1.0),08-05-2025 23:00,Annual,Million tonnes,Methane,Energy,Cyprus,2023,0.00068,,
ESTAT:ENV_AIR_GGE$DEFAULTVIEW(1.0),08-05-2025 23:00,Annual,Million tonnes,Methane,Energy,Czechia,2014,0.16524,,
ESTAT:ENV_AIR_GGE$DEFAULTVIEW(1.0),08-05-2025 23:00,Annual,Million tonnes,Methane,Energy,Czechia,2015,0.16019,,
ESTAT:ENV_AIR_GGE$DEFAULTVIEW(1.0),08-05-2025 23:00,Annual,Million tonnes,Methane,Energy,Czechia,2016,0.14307,,
ESTAT:ENV_AIR_GGE$DEFAULTVIEW(1.0),08-05-2025 23:00,Annual,Million tonnes,Methane,Energy,Czechia,2017,0.13059,,
ESTAT:ENV_AIR_GGE$DEFAULTVIEW(1.0),08-05-2025 23:00,Annual,Million tonnes,Methane,Energy,Czechia,2018,0.12107,,
ESTAT:ENV_AIR_GGE$DEFAULTVIEW(1.0),08-05-2025 23:00,Annual,Million tonnes,Methane,Energy,Czechia,2019,0.10939,,
ESTAT:ENV_AIR_GGE$DEFAULTVIEW(1.0),08-05-2025 23:00,Annual,Million tonnes,Methane,Energy,Czechia,2020,0.09386,,
ESTAT:ENV_AIR_GGE$DEFAULTVIEW(1.0),08-05-2025 23:00,Annual,Million tonnes,Methane,Energy,Czechia,2021,0.09667,,
ESTAT:ENV_AIR_GGE$DEFAULTVIEW(1.0),08-05-2025 23:00,Annual,Million tonnes,Methane,Energy,Czechia,2022,0.0847,,
ESTAT:ENV_AIR_GGE$DEFAULTVIEW(1.0),08-05-2025 23:00,Annual,Million tonnes,Methane,Energy,Czechia,2023,0.07195,,
ESTAT:ENV_AIR_GGE$DEFAULTVIEW(1.0),08-05-2025 23:00,Annual,Million tonnes,Methane,Energy,Germany,2014,0.41433,,
ESTAT:ENV_AIR_GGE$DEFAULTVIEW(1.0),08-05-2025 23:00,Annual,Million tonnes,Methane,Energy,Germany,2015,0.4181,,
ESTAT:ENV_AIR_GGE$DEFAULTVIEW(1.0),08-05-2025 23:00,Annual,Million tonnes,Methane,Energy,Germany,2016,0.38492,,
ESTAT:ENV_AIR_GGE$DEFAULTVIEW(1.0),08-05-2025 23:00,Annual,Million tonnes,Methane,Energy,Germany,2017,0.37479,,
ESTAT:ENV_AIR_GGE$DEFAULTVIEW(1.0),08-05-2025 23:00,Annual,Million tonnes,Methane,Energy,Germany,2018,0.32836,,
ESTAT:ENV_AIR_GGE$DEFAULTVIEW(1.0),08-05-2025 23:00,Annual,Million tonnes,Methane,Energy,Germany,2019,0.25841,,
ESTAT:ENV_AIR_GGE$DEFAULTVIEW(1.0),08-05-2025 23:00,Annual,Million tonnes,Methane,Energy,Germany,2020,0.2477,,
ESTAT:ENV_AIR_GGE$DEFAULTVIEW(1.0),08-05-2025 23:00,Annual,Million tonnes,Methane,Energy,Germany,2021,0.24855,,
ESTAT:ENV_AIR_GGE$DEFAULTVIEW(1.0),08-05-2025 23:00,Annual,Million tonnes,Methane,Energy,Germany,2022,0.23823,,
ESTAT:ENV_AIR_GGE$DEFAULTVIEW(1.0),08-05-2025 23:00,Annual,Million tonnes,Methane,Energy,Germany,2023,0.22423,,
ESTAT:ENV_AIR_GGE$DEFAULTVIEW(1.0),08-05-2025 23:00,Annual,Million tonnes,Methane,Energy,Denmark,2014,0.01889,,
ESTAT:ENV_AIR_GGE$DEFAULTVIEW(1.0),08-05-2025 23:00,Annual,Million tonnes,Methane,Energy,Denmark,2015,0.01816,,
ESTAT:ENV_AIR_GGE$DEFAULTVIEW(1.0),08-05-2025 23:00,Annual,Million tonnes,Methane,Energy,Denmark,2016,0.01831,,
ESTAT:ENV_AIR_GGE$DEFAULTVIEW(1.0),08-05-2025 23:00,Annual,Million tonnes,Methane,Energy,Denmark,2017,0.01816,,
ESTAT:ENV_AIR_GGE$DEFAULTVIEW(1.0),08-05-2025 23:00,Annual,Million tonnes,Methane,Energy,Denmark,2018,0.01712,,
ESTAT:ENV_AIR_GGE$DEFAULTVIEW(1.0),08-05-2025 23:00,Annual,Million tonnes,Methane,Energy,Denmark,2019,0.01611,,
ESTAT:ENV_AIR_GGE$DEFAULTVIEW(1.0),08-05-2025 23:00,Annual,Million tonnes,Methane,Energy,Denmark,2020,0.01292,,
ESTAT:ENV_AIR_GGE$DEFAULTVIEW(1.0),08-05-2025 23:00,Annual,Million tonnes,Methane,Energy,Denmark,2021,0.01375,,
ESTAT:ENV_AIR_GGE$DEFAULTVIEW(1.0),08-05-2025 23:00,Annual,Million tonnes,Methane,Energy,Denmark,2022,0.01226,,
ESTAT:ENV_AIR_GGE$DEFAULTVIEW(1.0),08-05-2025 23:00,Annual,Million tonnes,Methane,Energy,Denmark,2023,0.01154,,
ESTAT:ENV_AIR_GGE$DEFAULTVIEW(1.0),08-05-2025 23:00,Annual,Million tonnes,Methane,Energy,Estonia,2014,0.00219,,
ESTAT:ENV_AIR_GGE$DEFAULTVIEW(1.0),08-05-2025 23:00,Annual,Million tonnes,Methane,Energy,Estonia,2015,0.00203,,
ESTAT:ENV_AIR_GGE$DEFAULTVIEW(1.0),08-05-2025 23:00,Annual,Million tonnes,Methane,Energy,Estonia,2016,0.00214,,
ESTAT:ENV_AIR_GGE$DEFAULTVIEW(1.0),08-05-2025 23:00,Annual,Million tonnes,Methane,Energy,Estonia,2017,0.00209,,
ESTAT:ENV_AIR_GGE$DEFAULTVIEW(1.0),08-05-2025 23:00,Annual,Million tonnes,Methane,Energy,Estonia,2018,0.00213,,
ESTAT:ENV_AIR_GGE$DEFAULTVIEW(1.0),08-05-2025 23:00,Annual,Million tonnes,Methane,Energy,Estonia,2019,0.00209,,
ESTAT:ENV_AIR_GGE$DEFAULTVIEW(1.0),08-05-2025 23:00,Annual,Million tonnes,Methane,Energy,Estonia,2020,0.00204,,
ESTAT:ENV_AIR_GGE$DEFAULTVIEW(1.0),08-05-2025 23:00,Annual,Million tonnes,Methane,Energy,Estonia,2021,0.00226,,
ESTAT:ENV_AIR_GGE$DEFAULTVIEW(1.0),08-05-2025 23:00,Annual,Million tonnes,Methane,Energy,Estonia,2022,0.00201,,
ESTAT:ENV_AIR_GGE$DEFAULTVIEW(1.0),08-05-2025 23:00,Annual,Million tonnes,Methane,Energy,Estonia,2023,0.0019,,
ESTAT:ENV_AIR_GGE$DEFAULTVIEW(1.0),08-05-2025 23:00,Annual,Million tonnes,Methane,Energy,Greece,2014,0.06167,,
ESTAT:ENV_AIR_GGE$DEFAULTVIEW(1.0),08-05-2025 23:00,Annual,Million tonnes,Methane,Energy,Greece,2015,0.05834,,
ESTAT:ENV_AIR_GGE$DEFAULTVIEW(1.0),08-05-2025 23:00,Annual,Million tonnes,Methane,Energy,Greece,2016,0.04538,,
ESTAT:ENV_AIR_GGE$DEFAULTVIEW(1.0),08-05-2025 23:00,Annual,Million tonnes,Methane,Energy,Greece,2017,0.05088,,
ESTAT:ENV_AIR_GGE$DEFAULTVIEW(1.0),08-05-2025 23:00,Annual,Million tonnes,Methane,Energy,Greece,2018,0.04901,,
ESTAT:ENV_AIR_GGE$DEFAULTVIEW(1.0),08-05-2025 23:00,Annual,Million tonnes,Methane,Energy,Greece,2019,0.0409,,
