DATAFLOW,LAST UPDATE,freq,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:SDG_07_10(1.0),11-12-2025 23:00,Annual,Million tonnes of oil equivalent,Albania,2005,2.1,,
ESTAT:SDG_07_10(1.0),11-12-2025 23:00,Annual,Million tonnes of oil equivalent,Albania,2006,2.1,,
ESTAT:SDG_07_10(1.0),11-12-2025 23:00,Annual,Million tonnes of oil equivalent,Albania,2007,1.9,,
ESTAT:SDG_07_10(1.0),11-12-2025 23:00,Annual,Million tonnes of oil equivalent,Albania,2008,2.1,,
ESTAT:SDG_07_10(1.0),11-12-2025 23:00,Annual,Million tonnes of oil equivalent,Albania,2009,2,,
ESTAT:SDG_07_10(1.0),11-12-2025 23:00,Annual,Million tonnes of oil equivalent,Albania,2010,2,,
ESTAT:SDG_07_10(1.0),11-12-2025 23:00,Annual,Million tonnes of oil equivalent,Albania,2011,2.2,,
ESTAT:SDG_07_10(1.0),11-12-2025 23:00,Annual,Million tonnes of oil equivalent,Albania,2012,2,,
ESTAT:SDG_07_10(1.0),11-12-2025 23:00,Annual,Million tonnes of oil equivalent,Albania,2013,2.2,,
ESTAT:SDG_07_10(1.0),11-12-2025 23:00,Annual,Million tonnes of oil equivalent,Albania,2014,2.3,,
ESTAT:SDG_07_10(1.0),11-12-2025 23:00,Annual,Million tonnes of oil equivalent,Albania,2015,2.1,,
ESTAT:SDG_07_10(1.0),11-12-2025 23:00,Annual,Million tonnes of oil equivalent,Albania,2016,2.2,,
ESTAT:SDG_07_10(1.0),11-12-2025 23:00,Annual,Million tonnes of oil equivalent,Albania,2017,2.3,,
ESTAT:SDG_07_10(1.0),11-12-2025 23:00,Annual,Million tonnes of oil equivalent,Albania,2018,2.4,,
ESTAT:SDG_07_10(1.0),11-12-2025 23:00,Annual,Million tonnes of oil equivalent,Albania,2019,2.3,,
ESTAT:SDG_07_10(1.0),11-12-2025 23:00,Annual,Million tonnes of oil equivalent,Albania,2020,2.2,,
ESTAT:SDG_07_10(1.0),11-12-2025 23:00,Annual,Million tonnes of oil equivalent,Albania,2021,2.3,,
ESTAT:SDG_07_10(1.0),11-12-2025 23:00,Annual,Million tonnes of oil equivalent,Albania,2022,2.2,,
ESTAT:SDG_07_10(1.0),11-12-2025 23:00,Annual,Million tonnes of oil equivalent,Albania,2023,2.1,,
ESTAT:SDG_07_10(1.0),11-12-2025 23:00,Annual,Million tonnes of oil equivalent,Austria,2005,32.7,,
ESTAT:SDG_07_10(1.0),11-12-2025 23:00,Annual,Million tonnes of oil equivalent,Austria,2006,32.6,,
ESTAT:SDG_07_10(1.0),11-12-2025 23:00,Annual,Million tonnes of oil equivalent,Austria,2007,32.2,,
ESTAT:SDG_07_10(1.0),11-12-2025 23:00,Annual,Million tonnes of oil equivalent,Austria,2008,32.5,,
ESTAT:SDG_07_10(1.0),11-12-2025 23:00,Annual,Million tonnes of oil equivalent,Austria,2009,30.7,,
ESTAT:SDG_07_10(1.0),11-12-2025 23:00,Annual,Million tonnes of oil equivalent,Austria,2010,32.9,,
ESTAT:SDG_07_10(1.0),11-12-2025 23:00,Annual,Million tonnes of oil equivalent,Austria,2011,32,,
ESTAT:SDG_07_10(1.0),11-12-2025 23:00,Annual,Million tonnes of oil equivalent,Austria,2012,31.7,,
ESTAT:SDG_07_10(1.0),11-12-2025 23:00,Annual,Million tonnes of oil equivalent,Austria,2013,32.1,,
ESTAT:SDG_07_10(1.0),11-12-2025 23:00,Annual,Million tonnes of oil equivalent,Austria,2014,30.8,,
ESTAT:SDG_07_10(1.0),11-12-2025 23:00,Annual,Million tonnes of oil equivalent,Austria,2015,31.7,,
ESTAT:SDG_07_10(1.0),11-12-2025 23:00,Annual,Million tonnes of oil equivalent,Austria,2016,32,,
ESTAT:SDG_07_10(1.0),11-12-2025 23:00,Annual,Million tonnes of oil equivalent,Austria,2017,32.8,,
ESTAT:SDG_07_10(1.0),11-12-2025 23:00,Annual,Million tonnes of oil equivalent,Austria,2018,31.8,,
ESTAT:SDG_07_10(1.0),11-12-2025 23:00,Annual,Million tonnes of oil equivalent,Austria,2019,32.3,,
ESTAT:SDG_07_10(1.0),11-12-2025 23:00,Annual,Million tonnes of oil equivalent,Austria,2020,29.8,,
ESTAT:SDG_07_10(1.0),11-12-2025 23:00,Annual,Million tonnes of oil equivalent,Austria,2021,31.6,,
ESTAT:SDG_07_10(1.0),11-12-2025 23:00,Annual,Million tonnes of oil equivalent,Austria,2022,30.5,,
ESTAT:SDG_07_10(1.0),11-12-2025 23:00,Annual,Million tonnes of oil equivalent,Austria,2023,29.7,,
ESTAT:SDG_07_10(1.0),11-12-2025 23:00,Annual,Million tonnes of oil equivalent,Austria,2024,29.3,,
ESTAT:SDG_07_10(1.0),11-12-2025 23:00,Annual,Million tonnes of oil equivalent,Bosnia and Herzegovina,2014,5.9,,
ESTAT:SDG_07_10(1.0),11-12-2025 23:00,Annual,Million tonnes of oil equivalent,Bosnia and Herzegovina,2015,6.1,,
ESTAT:SDG_07_10(1.0),11-12-2025 23:00,Annual,Million tonnes of oil equivalent,Bosnia and Herzegovina,2016,6.7,,
ESTAT:SDG_07_10(1.0),11-12-2025 23:00,Annual,Million tonnes of oil equivalent,Bosnia and Herzegovina,2017,6.7,,
ESTAT:SDG_07_10(1.0),11-12-2025 23:00,Annual,Million tonnes of oil equivalent,Bosnia and Herzegovina,2018,7.4,,
ESTAT:SDG_07_10(1.0),11-12-2025 23:00,Annual,Million tonnes of oil equivalent,Bosnia and Herzegovina,2019,7.1,,
ESTAT:SDG_07_10(1.0),11-12-2025 23:00,Annual,Million tonnes of oil equivalent,Bosnia and Herzegovina,2020,7,,
ESTAT:SDG_07_10(1.0),11-12-2025 23:00,Annual,Million tonnes of oil equivalent,Bosnia and Herzegovina,2021,7.3,,
ESTAT:SDG_07_10(1.0),11-12-2025 23:00,Annual,Million tonnes of oil equivalent,Bosnia and Herzegovina,2022,7.2,,
ESTAT:SDG_07_10(1.0),11-12-2025 23:00,Annual,Million tonnes of oil equivalent,Bosnia and Herzegovina,2023,6.9,,
ESTAT:SDG_07_10(1.0),11-12-2025 23:00,Annual,Million tonnes of oil equivalent,Belgium,2005,51.6,,
ESTAT:SDG_07_10(1.0),11-12-2025 23:00,Annual,Million tonnes of oil equivalent,Belgium,2006,51.5,,
ESTAT:SDG_07_10(1.0),11-12-2025 23:00,Annual,Million tonnes of oil equivalent,Belgium,2007,50.4,,
ESTAT:SDG_07_10(1.0),11-12-2025 23:00,Annual,Million tonnes of oil equivalent,Belgium,2008,51.2,,
ESTAT:SDG_07_10(1.0),11-12-2025 23:00,Annual,Million tonnes of oil equivalent,Belgium,2009,50.1,,
ESTAT:SDG_07_10(1.0),11-12-2025 23:00,Annual,Million tonnes of oil equivalent,Belgium,2010,53.4,,
ESTAT:SDG_07_10(1.0),11-12-2025 23:00,Annual,Million tonnes of oil equivalent,Belgium,2011,49.5,,
ESTAT:SDG_07_10(1.0),11-12-2025 23:00,Annual,Million tonnes of oil equivalent,Belgium,2012,47.1,,
ESTAT:SDG_07_10(1.0),11-12-2025 23:00,Annual,Million tonnes of oil equivalent,Belgium,2013,48.6,,
ESTAT:SDG_07_10(1.0),11-12-2025 23:00,Annual,Million tonnes of oil equivalent,Belgium,2014,45.2,,
ESTAT:SDG_07_10(1.0),11-12-2025 23:00,Annual,Million tonnes of oil equivalent,Belgium,2015,45.7,,
ESTAT:SDG_07_10(1.0),11-12-2025 23:00,Annual,Million tonnes of oil equivalent,Belgium,2016,48.5,,
ESTAT:SDG_07_10(1.0),11-12-2025 23:00,Annual,Million tonnes of oil equivalent,Belgium,2017,48.5,,
ESTAT:SDG_07_10(1.0),11-12-2025 23:00,Annual,Million tonnes of oil equivalent,Belgium,2018,46.5,,
ESTAT:SDG_07_10(1.0),11-12-2025 23:00,Annual,Million tonnes of oil equivalent,Belgium,2019,48.4,,
ESTAT:SDG_07_10(1.0),11-12-2025 23:00,Annual,Million tonnes of oil equivalent,Belgium,2020,44.1,,
ESTAT:SDG_07_10(1.0),11-12-2025 23:00,Annual,Million tonnes of oil equivalent,Belgium,2021,49,,
ESTAT:SDG_07_10(1.0),11-12-2025 23:00,Annual,Million tonnes of oil equivalent,Belgium,2022,45.4,,
ESTAT:SDG_07_10(1.0),11-12-2025 23:00,Annual,Million tonnes of oil equivalent,Belgium,2023,42.3,,
ESTAT:SDG_07_10(1.0),11-12-2025 23:00,Annual,Million tonnes of oil equivalent,Belgium,2024,42.7,,
